name,pronunciation,meaning,type,length,weight,diet,teeth,food,how_moved,when_it_lived,found_it,taxonomy,foundators,year,species_type,comments,img_url,length_clean,diet_clean,taxonomy_depth,site1,site2,site3,site4,era,time_range,start,end,weight_clean,meaning_clean,year_clean,herbivorous,lifespan
Heyuannia,Hey-YOU-ARN-ee-ah,'from [the city of] Heyuan',small theropod,2.0m,,omnivorous,,,,"Late Cretaceous, 72-68 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Caenagnathoidea, Oviraptoridae, Ingeniinae",Barsbold ,(1981) ,yanshini,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/heyuannia.jpg,2.0,omnivorous,14,Mongolia,,,,late cretaceous,72-68 million years ago,72.0,68.0,,from [the city of] Heyuan,1981.0,0.0,4.0
Homalocephale,Home-ah-loh-keff-ah-lee,'level head',pachycephalosaur,1.5m,,herbivorous,,,,"Late Cretaceous, 72-68 million years ago",Mongolia,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Pachycephalosauria, Goyocephala, Homalocephaloidea",MaryaÃ ska and OsmÃÂ³lska ,(1974) ,calathocercos,  Homalocephale is known from a complete skull and a nearly complete postcranium.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Homalocephale.jpg,1.5,herbivorous,8,Mongolia,,,,late cretaceous,72-68 million years ago,72.0,68.0,,level head,1974.0,1.0,4.0
Huayangosaurus,hoy-YANG-oh-SORE-us,'Huayang lizard',armoured dinosaur,4.5m,,herbivorous,,,,"Mid Jurassic, 170-160 million years ago",China,"Dinosauria, Ornithischia, Thyreophora, Stegosauria, Huayangosauridae","Dong, Tang and Zhou ",(1982) ,taibaii,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/huayango.jpg,4.5,herbivorous,5,China,,,,mid jurassic,170-160 million years ago,170.0,160.0,,Huayang lizard,1982.0,1.0,10.0
Hylaeosaurus,HIGH-lee-oh-sore-us,'woodland lizard',armoured dinosaur,5.0m,,herbivorous,,,,"Early Cretaceous, 150-135 million years ago","England,
						
							United Kingdom","Dinosauria, Ornithischia, Thyreophora, Ankylosauria",Mantell ,(1833) ,armatus,  A specimen of Hylaeosaurus was one of the 3 fossils first identified as dinosaurs by Richard Owen in 1841.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hylaeo.jpg,5.0,herbivorous,4,England,UnitedKingdom,,,early cretaceous,150-135 million years ago,150.0,135.0,,woodland lizard,1833.0,1.0,15.0
Hypacrosaurus,hi-pak-roh-sore-us,'near-topmost lizard',large ornithopod,9.0m,,herbivorous,,,,"Late Cretaceous, 70 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae",Brown ,(1913) ,altispinus,"  Complete Hypacrosaurus skeletons have been found, from embryos to adults.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Hypacrosaurus.jpg,9.0,herbivorous,5,Canada,USA,,,late cretaceous,70 million years ago,70.0,70.0,,near-topmost lizard,1913.0,1.0,0.0
Hypsilophodon,hip-sih-LOH-foh-don,'high-ridge tooth',small ornithopod,2.3m,50kg,herbivorous,"horny beak, broad, chisel-like teeth",plant material,on 2 legs,"Early Cretaceous, 125 million years ago","England,
						
							Spain,
						
							United Kingdom","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Hypsilophodontidae",Huxley ,(1869) ,foxii,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/hypsil.jpg,2.3,herbivorous,5,England,Spain,UnitedKingdom,,early cretaceous,125 million years ago,125.0,125.0,50.0,high-ridge tooth,1869.0,1.0,0.0
Iguanodon,ig-WHA-noh-don,'iguana tooth',large ornithopod,10.0m,4000kg,herbivorous,chewing cheek teeth and horny beak,plant material,on 2 or 4 legs,"Early Cretaceous, 140-110 million years ago","Belgium,
						
							England,
						
							United Kingdom","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Boulenger and van Beneden ,(1881) ,bernissartensis,"  Iguanodon could probably walk on all fours or on two legs. It had a large thumb spike on the end of its hand, probably to fend-off predators, and the structure of the muscles inside its head suggest it had a very long tongue.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/iguano.jpg,10.0,herbivorous,9,Belgium,England,UnitedKingdom,,early cretaceous,140-110 million years ago,140.0,110.0,4000.0,iguana tooth,1881.0,1.0,30.0
Indosuchus,in-doh-sook-us,'Indian crocodile',large theropod,7.0m,,carnivorous,,,,"Late Cretaceous, 71-66 million years ago",India,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria",Huene and Matley ,(1933) ,raptorius,  An almost complete skeleton of Indosuchus has been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Indosuchus.jpg,7.0,carnivorous,6,India,,,,late cretaceous,71-66 million years ago,71.0,66.0,,Indian crocodile,1933.0,0.0,5.0
Irritator,irr-it-ate-or,'irritator',large theropod,6.5m,,carnivorous,,,,"Early Cretaceous, 112-99 million years ago",Brazil,"Dinosauria, Saurischia, Theropoda, Spinosauridae, Spinosaurini","Martill, Cruickshank, Frey, Small and Clarke ",(1996) ,challengeri,"  Irritator was quite like Spinosaurus. It is known only from a skull, so the sail is a guess.  The type species, Irritator challengeri was named after Professor Challenger from Arthur Conan Doyle's novel  'The Lost World', published in 1912.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Irritator.jpg,6.5,carnivorous,5,Brazil,,,,early cretaceous,112-99 million years ago,112.0,99.0,,irritator,1996.0,0.0,13.0
Isisaurus,iss-ee-sore-us,'ISI (Indian Statistical Institute) lizard',sauropod,,,herbivorous,,,,"Late Cretaceous, 71-66 million years ago",India,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Jain and Bandyopadhyay ,(1997) ,colberti,  This dinosaur is the one most similar to modern-day giraffes. Fungus has been found in its poo!,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Isisaurus.jpg,,herbivorous,11,India,,,,late cretaceous,71-66 million years ago,71.0,66.0,,ISI (Indian Statistical Institute) lizard,1997.0,1.0,5.0
Janenschia,yan-ensh-ee-ah,'named after Janansch',sauropod,20.0m,,herbivorous,,,,"Late Jurassic, 154-151 million years ago",Tanzania,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Wild ,(1991) ,robusta,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Janenschia.jpg,20.0,herbivorous,10,Tanzania,,,,late jurassic,154-151 million years ago,154.0,151.0,,named after Janansch,1991.0,1.0,3.0
Jaxartosaurus,jak-sahr-toh-sore-us,'Jaxartes [River] lizard',large ornithopod,9.0m,,herbivorous,,,,"Late Cretaceous, 94-84 million years ago",Kazakhstan,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Lambeosaurinae",Riabinin ,(1939) ,aralensis,  Jaxartosaurus is known only from a skull roof and braincase.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jaxartosaurus.jpg,9.0,herbivorous,5,Kazakhstan,,,,late cretaceous,94-84 million years ago,94.0,84.0,,Jaxartes [River] lizard,1939.0,1.0,10.0
Jingshanosaurus,jing-shahn-oh-sore-us,'Jingshan lizard',prosauropod,5.0m,,herbivorous,,,,"Early Jurassic, 205-190 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Plateosauria",Zhang and Yang ,(1995) ,xinwaensis,  A complete skeleton and skull of Jingshanosaurus have been found. It was one of the last prosauropods.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jingshanosaurus.jpg,5.0,herbivorous,5,China,,,,early jurassic,205-190 million years ago,205.0,190.0,,Jingshan lizard,1995.0,1.0,15.0
Jinzhousaurus,jeen-joh-sore-us,'Jinzhou lizard',large ornithopod,,,herbivorous,,,,"Early Cretaceous, 127-121 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia, Iguanodontoidea",Wang and Xu ,(2001) ,yangi,  An almost complete skull and some postcranial remains of this dinosaur have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jinzhousaurus.jpg,,herbivorous,9,China,,,,early cretaceous,127-121 million years ago,127.0,121.0,,Jinzhou lizard,2001.0,1.0,6.0
Jobaria,joh-bahr-ee-uh,'Jobar (mythical animal)',sauropod,21.0m,,herbivorous,,,,"Early Cretaceous, 132-94 million years ago",Niger,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria","Sereno, Beck, Dutheil, Larsson, Lyon, Moussa, Sadleir, Sidor, Varricchio, Wilson and Wilson ",(1999) ,tiguidensis,  Jobaria is known from a skull and several skeletons.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Jobaria.jpg,21.0,herbivorous,7,Niger,,,,early cretaceous,132-94 million years ago,132.0,94.0,,Jobar (mythical animal),1999.0,1.0,38.0
